#Organism Name,Organism Groups,Strain,BioSample,BioProject,Assembly,Level,Size(Mb),GC%,Replicons,WGS,Scaffolds,CDS,Release Date,GenBank FTP,RefSeq FTP
"Klebsiella variicola","Bacteria;Proteobacteria;Gammaproteobacteria","13450","SAMN09476128","PRJNA477656","GCA_003285185.1","Complete",5.51171,57.4,"chromosome:NZ_CP030173.1/CP030173.1",,1,5128,"2018-07-02T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/285/185/GCA_003285185.1_ASM328518v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/285/185/GCF_003285185.1_ASM328518v1"
"Klebsiella variicola","Bacteria;Proteobacteria;Gammaproteobacteria","BS359-2-1","SAMN16560588","PRJNA672205","GCA_015287155.1","Complete",5.51085,57.3,"chromosome:NZ_CP063912.1/CP063912.1",,1,5118,"2020-11-09T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/287/155/GCA_015287155.1_ASM1528715v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/015/287/155/GCF_015287155.1_ASM1528715v1"
"Klebsiella variicola","Bacteria;Proteobacteria;Gammaproteobacteria","AHKv-S01","SAMN13716639","PRJNA598814","GCA_011784425.1","Complete",5.5053,57.3,"chromosome:NZ_CP047360.1/CP047360.1",,1,5153,"2020-03-31T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/011/784/425/GCA_011784425.1_ASM1178442v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/011/784/425/GCF_011784425.1_ASM1178442v1"
"Klebsiella variicola","Bacteria;Proteobacteria;Gammaproteobacteria","S129-1","SAMN16539875","PRJNA671645","GCA_015290365.1","Complete",5.49016,57.5,"chromosome:NZ_CP063954.1/CP063954.1",,1,5070,"2020-11-09T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/290/365/GCA_015290365.1_ASM1529036v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/015/290/365/GCF_015290365.1_ASM1529036v1"
"Klebsiella variicola","Bacteria;Proteobacteria;Gammaproteobacteria","S131-2","SAMN16539468","PRJNA671644","GCA_015290565.1","Complete",5.49014,57.5,"chromosome:NZ_CP063953.1/CP063953.1",,1,5069,"2020-11-09T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/290/565/GCA_015290565.1_ASM1529056v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/015/290/565/GCF_015290565.1_ASM1529056v1"
"Klebsiella variicola","Bacteria;Proteobacteria;Gammaproteobacteria","M186-1","SAMN16560589","PRJNA672205","GCA_015286725.1","Complete",5.48445,57.5,"chromosome:NZ_CP063911.1/CP063911.1",,1,5090,"2020-11-09T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/286/725/GCA_015286725.1_ASM1528672v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/015/286/725/GCF_015286725.1_ASM1528672v1"
"Klebsiella variicola","Bacteria;Proteobacteria;Gammaproteobacteria","M186-1-2","SAMN16560586","PRJNA672205","GCA_015288045.1","Complete",5.48434,57.5,"chromosome:NZ_CP063915.1/CP063915.1",,1,5082,"2020-11-09T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/288/045/GCA_015288045.1_ASM1528804v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/015/288/045/GCF_015288045.1_ASM1528804v1"
"Klebsiella variicola","Bacteria;Proteobacteria;Gammaproteobacteria","S187-1","SAMN16560578","PRJNA672205","GCA_015288785.1","Complete",5.48403,57.5,"chromosome:NZ_CP063926.1/CP063926.1",,1,5093,"2020-11-09T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/288/785/GCA_015288785.1_ASM1528878v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/015/288/785/GCF_015288785.1_ASM1528878v1"
"Klebsiella variicola","Bacteria;Proteobacteria;Gammaproteobacteria","AJ292","SAMEA5128436","PRJEB29928","GCA_900622595.1","Complete",5.44513,57.6,"chromosome 1:NZ_LR130538.1/LR130538.1",,1,5021,"2019-01-10T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/622/595/GCA_900622595.1_AJ292","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/622/595/GCF_900622595.1_AJ292"
"Klebsiella variicola","Bacteria;Proteobacteria;Gammaproteobacteria","E57-7","SAMN05341158","PRJNA327507","GCA_003290425.1","Complete",5.43958,57.4,"chromosome:NZ_CP016344.1/CP016344.1",,1,5051,"2018-07-09T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/290/425/GCA_003290425.1_ASM329042v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/290/425/GCF_003290425.1_ASM329042v1"
"Klebsiella variicola","Bacteria;Proteobacteria;Gammaproteobacteria","03-311-0071","SAMEA5128439","PRJEB29928","GCA_900622625.1","Complete",5.42524,57.6,"chromosome 1:NZ_LR130544.1/LR130544.1",,1,4974,"2019-01-10T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/622/625/GCA_900622625.1_03-311-0071","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/622/625/GCF_900622625.1_03-311-0071"
"Klebsiella variicola","Bacteria;Proteobacteria;Gammaproteobacteria","04153260899A","SAMEA5128440","PRJEB29928","GCA_900622615.1","Complete",5.36894,57.5,"chromosome 1:NZ_LR130543.1/LR130543.1",,1,5000,"2019-01-10T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/622/615/GCA_900622615.1_04153260899A","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/622/615/GCF_900622615.1_04153260899A"
"Klebsiella oxytoca","Bacteria;Proteobacteria;Gammaproteobacteria","NCTC11355","SAMEA3251431","PRJEB6403","GCA_900478285.1","Complete",5.85998,55.2,"chromosome 1:LS483483.1",,1,6457,"2018-06-17T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/478/285/GCA_900478285.1_36005_G01","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/478/285/GCF_900478285.1_36005_G01"
"Klebsiella variicola","Bacteria;Proteobacteria;Gammaproteobacteria","118","SAMN13951914","PRJNA604100","GCA_010365565.1","Complete",6.01085,56.929,"chromosome:CP048379.1; plasmid p118_A:CP048380.1; plasmid p118_B-OXA1:CP048381.1",,3,5637,"2020-02-09T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/010/365/565/GCA_010365565.1_ASM1036556v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/010/365/565/GCF_010365565.1_ASM1036556v1"
"Klebsiella variicola","Bacteria;Proteobacteria;Gammaproteobacteria","BM378-2","SAMN16560598","PRJNA672205","GCA_015285425.1","Complete",5.6828,56.978,"chromosome:CP063893.1; plasmid pBM378-2.1:CP063894.1; plasmid pBM378-2.2:CP063895.1",,3,0,"2020-11-09T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/285/425/GCA_015285425.1_ASM1528542v1",
"Klebsiella variicola","Bacteria;Proteobacteria;Gammaproteobacteria","KP5-1","SAMN02746181","PRJNA168515","GCA_000714635.1","Complete",5.55147,57.2718,"chromosome:CP008700.1; plasmid pKp5-1:CP008701.1",,2,4918,"2014-06-27T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/714/635/GCA_000714635.1_ASM71463v1",
"Klebsiella variicola","Bacteria;Proteobacteria;Gammaproteobacteria","FH-1","SAMN14853914","PRJNA631154","GCA_013305245.1","Complete",5.65242,57.2441,"chromosome:NZ_CP054254.1/CP054254.1; plasmid unnamed:NZ_CP054255.1/CP054255.1",,2,5276,"2020-06-09T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/305/245/GCA_013305245.1_ASM1330524v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/305/245/GCF_013305245.1_ASM1330524v1"
"Klebsiella michiganensis","Bacteria;Proteobacteria;Gammaproteobacteria","BD-50-Km","SAMN16233476","PRJNA664790","GCA_016618215.1","Complete",6.86506,55.4487,"chromosome:NZ_CP061930.1/CP061930.1; plasmid pBD-50-Km_2:NZ_CP061932.1/CP061932.1; plasmid pBD-50-Km_3:NZ_CP061933.1/CP061933.1; plasmid pBD-50-Km_VIM-1:NZ_CP061931.1/CP061931.1",,4,6391,"2021-01-12T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/016/618/215/GCA_016618215.1_ASM1661821v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/618/215/GCF_016618215.1_ASM1661821v1"
"Klebsiella oxytoca","Bacteria;Proteobacteria;Gammaproteobacteria","NCTC13727","SAMEA3923594","PRJEB6403","GCA_900636985.1","Complete",5.85796,55.1,"chromosome 1:NZ_LR134333.1/LR134333.1",,1,5267,"2018-12-19T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/636/985/GCA_900636985.1_45889_C01","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/636/985/GCF_900636985.1_45889_C01"
"Klebsiella michiganensis","Bacteria;Proteobacteria;Gammaproteobacteria","K516","SAMN07315162","PRJNA393093","GCA_002216835.1","Complete",6.41874,55.8747,"chromosome:NZ_CP022348.1/CP022348.1; plasmid pK516_KPC:NZ_CP022349.1/CP022349.1; plasmid pK516_NDM1:NZ_CP022350.1/CP022350.1; plasmid pK516_NDM5:NZ_CP022351.1/CP022351.1",,4,5863,"2017-07-12T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/216/835/GCA_002216835.1_ASM221683v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/216/835/GCF_002216835.1_ASM221683v1"
"Klebsiella michiganensis","Bacteria;Proteobacteria;Gammaproteobacteria","K518","SAMN07551913","PRJNA393093","GCA_002290285.1","Complete",6.41857,55.8754,"chromosome:NZ_CP023185.1/CP023185.1; plasmid pK518_KPC:NZ_CP023186.1/CP023186.1; plasmid pK518_NDM1:NZ_CP023187.1/CP023187.1; plasmid pK518_NDM5:NZ_CP023188.1/CP023188.1",,4,5865,"2017-09-12T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/290/285/GCA_002290285.1_ASM229028v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/290/285/GCF_002290285.1_ASM229028v1"
"Klebsiella variicola","Bacteria;Proteobacteria;Gammaproteobacteria","M142-3","SAMN16539469","PRJNA671645","GCA_015278015.1","Complete",5.79629,57.2285,"chromosome:NZ_CP063867.1/CP063867.1; plasmid pM142-3:NZ_CP063868.1/CP063868.1",,2,5387,"2020-11-08T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/278/015/GCA_015278015.1_ASM1527801v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/015/278/015/GCF_015278015.1_ASM1527801v1"
"Klebsiella michiganensis E718","Bacteria;Proteobacteria;Gammaproteobacteria","E718","SAMN02603642","PRJNA167370","GCA_000276705.2","Complete",6.56168,55.5213,"chromosome:NC_018106.1/CP003683.1; plasmid pKOX_NDM1:NC_021501.1/JQ314407.1; plasmid pKOX_R1:NC_018107.1/CP003684.1",,3,5930,"2012-07-09T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/276/705/GCA_000276705.2_ASM27670v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/276/705/GCF_000276705.2_ASM27670v2"
"Klebsiella oxytoca","Bacteria;Proteobacteria;Gammaproteobacteria","RHBSTW-00493","SAMN15148636","PRJNA605147","GCA_013784845.1","Complete",6.38409,55.7637,"chromosome:CP056453.1; plasmid pRHBSTW-00493_2:CP056454.1",,2,5836,"2020-07-28T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/784/845/GCA_013784845.1_ASM1378484v1",
"Klebsiella variicola","Bacteria;Proteobacteria;Gammaproteobacteria","LMG 23571","SAMN04419546","PRJNA309027","GCA_001969305.1","Complete",5.76366,57.1847,"chromosome:NZ_CP013985.1/CP013985.1; plasmid unnamed:NZ_CP013986.1/CP013986.1",,2,5400,"2017-01-23T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/969/305/GCA_001969305.1_ASM196930v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/969/305/GCF_001969305.1_ASM196930v1"
"Klebsiella michiganensis KCTC 1686","Bacteria;Proteobacteria;Gammaproteobacteria","KCTC 1686","SAMN02603580","PRJNA65523","GCA_000240325.1","Complete",5.97411,56,"chromosome:NC_016612.1/CP003218.1",,1,5376,"2011-12-29T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/240/325/GCA_000240325.1_ASM24032v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/240/325/GCF_000240325.1_ASM24032v1"
"Klebsiella oxytoca","Bacteria;Proteobacteria;Gammaproteobacteria","RHBSTW-00365","SAMN15148592","PRJNA605147","GCA_013751295.1","Complete",6.42552,55.6223,"chromosome:CP056581.1; plasmid pRHBSTW-00365_2:CP056582.1; plasmid pRHBSTW-00365_3:CP056583.1",,3,5878,"2020-07-27T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/751/295/GCA_013751295.1_ASM1375129v1",
"Klebsiella variicola","Bacteria;Proteobacteria;Gammaproteobacteria","WCHKV030666","SAMN07609116","PRJNA353728","GCA_002852915.4","Complete",5.78951,57.1145,"chromosome:NZ_CP027064.2/CP027064.2; plasmid pVir_030666:NZ_CP027063.3/CP027063.3",,2,5366,"2018-02-23T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/852/915/GCA_002852915.4_ASM285291v4","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/852/915/GCF_002852915.4_ASM285291v4"
